WELLNAME,= 33846-CBL (1),,,,,,
STDEP  =,17,,,,,,
ENDEP  =,10431.5,,,,,,
LEVEL  =,0.5,,,,,,
CURNAMES,"AMP3FT, AMPAVG,","AMPMAX,","AMPMIN, CCL, GR,",LTEN,,,
,,,,,,,
DEPTH,AMP3FT,AMPAVG,AMPMAX,AMPMIN,CCL,GR,LTEN
17,3.2274,1.4905,2.4734,0.5156,0,109.216,-99999
17.5,2.7501,1.5492,2.8019,0.5828,0,100.7406,-99999
18,2.3829,0.8251,1.3372,0.1731,0,89.9211,250.0154
18.5,3.2843,1.4938,3.2073,-0.154,0,87.1771,275.3397
19,3.1577,2.3274,4.4934,0.1448,0,79.4022,260.3034
19.5,2.1911,1.5728,2.9747,0.4578,2,55.0369,219.9428
20,1.8801,0.764,1.419,-0.0424,0,26.12,246.8499
20.5,1.9957,0.5617,1.0386,-0.3421,0,10.2249,217.5686
21,2.0199,0.9429,1.3388,0.2413,-2,5.9782,226.2739
21.5,1.9893,1.5697,2.2054,1.1113,2,8.9123,235.7705
22,2.16,1.7277,2.7333,0.7731,2,14.8878,245.2671
22.5,2.185,1.2768,2.3361,-0.2099,0,19.115,235.7705
23,2.3069,0.6985,1.4248,-0.6504,0,21.0243,252.3896
23.5,2.7692,0.932,1.8679,-0.664,0,23.3994,234.1877
24,2.4664,1.095,1.9097,-0.4901,0,27.8196,237.3533
24.5,1.8956,0.9579,1.8636,0.0617,0,35.5337,272.1742
25,2.0983,1.1909,2.2484,0.221,0,42.0467,284.045
25.5,2.5427,1.5027,2.0981,0.4322,0,39.7455,260.3034
26,2.7955,1.8609,3.0574,0.3723,0,35.5574,271.3828
26.5,2.6256,1.6997,3.5662,-0.5694,0,32.1516,251.5982
27,2.3756,1.6774,3.5126,-0.1523,-2,30.7718,272.9656
27.5,2.1703,1.9775,3.2734,0.2129,0,32.0152,284.045
28,1.7508,1.8565,3.4669,0.4246,0,29.288,295.9157
28.5,1.1677,3.5131,5.8744,0.375,0,25.7925,242.1016
29,1.5446,3.3435,6.0557,0.5185,0,29.435,284.8364
29.5,2.4069,2.0547,2.9432,1.0871,0,39.0821,272.1742
30,2.3683,3.271,4.4646,1.8172,0,44.7196,274.5483
30.5,2.9082,4.1769,7.6055,2.1233,0,43.0688,264.2603
31,5.0733,3.3034,7.4439,1.358,0,38.0102,253.181
31.5,4.6053,2.4015,4.1779,1.1589,0,34.3025,234.1877
32,3.2261,2.1557,3.5574,0.8599,0,32.3749,246.0585
32.5,4.0383,2.2512,4.0259,0.85,0,33.8556,242.1016
33,4.312,2.1971,5.4146,0.596,0,34.6496,241.3102
33.5,4.9538,3.0772,5.0811,0.9881,0,31.5358,260.3034
34,5.8156,5.0162,6.2148,2.9745,0,28.5059,291.1674
34.5,4.2959,3.8907,5.32,2.6435,0,26.5336,269.8
35,2.9725,3.1311,5.1815,1.1763,0,29.5032,295.9157
35.5,3.2925,3.1235,4.9776,1.7741,0,39.1521,250.8068
36,3.3539,2.2786,3.8341,1.0138,0,51.871,263.469
36.5,2.8791,1.5417,2.9518,0.585,0,52.9063,277.7139
37,2.7722,1.7194,3.6416,0.9507,0,47.0112,278.5053
37.5,2.7668,1.8166,4.4158,0.1482,0,47.5331,263.469
38,2.037,1.881,4.1613,-0.5721,0,46.8711,280.088
38.5,2.2881,2.1537,3.3182,0.3283,0,38.2688,249.224
39,2.8888,2.7761,4.1845,1.4187,0,28.4855,287.2105
39.5,3.6694,3.8574,6.2826,1.9321,0,27.7316,291.9588
40,5.5119,3.3694,5.67,1.7003,0,29.8335,276.1311
40.5,5.7175,2.9571,4.9687,0.1059,0,29.9898,267.4259
41,3.5935,1.7217,3.5776,0.1995,0,30.3524,274.5483
41.5,1.9922,1.2011,2.2906,-0.1547,0,33.1375,261.0948
42,1.9874,2.0654,4.0528,0.5986,0,34.0748,281.6708
42.5,2.6982,2.5981,3.8931,1.2472,0,34.7463,288.7933
43,2.8263,3.4689,5.0556,2.0488,0,36.659,266.6345
43.5,2.661,5.2011,6.7726,3.1363,0,37.5956,269.8
44,2.4169,4.3531,6.5677,1.9889,0,35.5132,276.1311
44.5,2.1125,2.5576,4.1125,1.038,0,35.1406,263.469
45,1.7805,1.8101,4.0729,0.3497,0,44.7156,286.4191
45.5,1.726,1.2174,2.3773,-0.3985,0,54.9422,297.4985
46,2.0773,2.2929,4.112,1.4419,0,54.8456,265.8431
46.5,2.454,4.4994,7.3963,1.6672,0,43.5552,283.2536
47,2.3264,3.4803,5.5979,1.8438,-2,31.6885,266.6345
47.5,3.1709,2.8201,5.4441,1.3296,0,25.1225,270.5914
48,3.707,1.9222,3.3095,0.8624,0,24.08,284.8364
48.5,4.5563,1.6443,3.4346,-0.3215,0,30.3244,284.045
49,3.3997,1.9197,4.2548,-0.1114,0,40.7138,285.6277
49.5,2.2818,1.7454,2.8728,1.1188,0,52.4755,286.4191
50,3.3158,2.7579,4.6145,1.5689,0,58.6705,263.469
50.5,3.4183,3.3053,6.6206,1.8109,0,56.4063,262.6776
51,3.9058,2.9071,6.3398,0.2911,0,45.3262,291.9588
51.5,3.9749,3.3881,5.9222,-0.1259,0,33.9905,264.2603
52,2.6871,2.7751,4.1842,0.0578,0,34.4119,260.3034
52.5,2.5677,1.6695,2.6902,0.2888,0,43.5604,264.2603
53,3.9444,2.089,3.3926,0.5846,0,51.0854,280.088
53.5,3.6126,3.4925,5.1262,2.3904,0,44.1386,267.4259
54,3.0552,4.6759,7.9308,2.6008,0,30.1597,283.2536
54.5,3.8692,4.2143,7.038,1.1095,0,26.1356,289.5847
55,3.4472,2.3729,4.2828,0.7723,0,30.6755,269.8
55.5,2.3573,1.6143,2.9994,0.8203,0,33.8338,270.5914
56,2.5957,2.5472,4.962,0.8191,0,34.0646,273.757
56.5,2.8834,3.2425,5.4009,1.5881,0,38.702,265.0517
57,2.5171,3.5703,7.2937,1.4453,0,41.027,286.4191
57.5,2.6697,3.5002,6.2655,1.8574,0,37.3515,288.7933
58,2.6768,3.2192,5.7009,0.6919,0,39.032,269.0087
58.5,2.5861,2.744,6.6888,0.5195,0,39.2028,280.088
59,2.4894,1.4745,3.1554,-0.0332,0,28.7786,270.5914
59.5,2.7095,1.9566,3.042,0.2156,0,29.2154,266.6345
60,2.882,3.455,5.9648,-0.0966,0,37.9492,284.8364
60.5,2.9323,2.1036,3.8676,0.1682,0,38.295,280.088
61,3.6385,1.7173,3.3558,1.0738,0,34.5798,268.2173
61.5,7.9358,2.4342,3.616,1.2277,0,37.6731,282.4622
62,8.4545,2.8274,4.327,0.5057,0,41.4082,263.469
62.5,4.5987,3.085,4.5486,-0.0049,0,38.5154,267.4259
63,3.0836,3.7472,7.0208,0.6045,0,38.0828,283.2536
63.5,3.2844,4.3679,8.1565,1.0258,0,43.0915,288.0019
64,3.0509,4.7288,8.2707,2.0576,0,46.5909,261.0948
64.5,2.2082,3.9283,7.0883,2.3344,0,47.5773,281.6708
65,2.2033,2.5267,4.1586,0.7284,0,45.0994,267.4259
65.5,2.8995,3.2489,5.2168,0.8384,0,38.4704,266.6345
66,2.1064,3.8562,10.1457,1.3815,0,32.4602,291.1674
66.5,1.6888,2.9785,7.5263,1.0389,0,32.2661,291.9588
67,2.0984,3.2117,6.7021,0.6001,0,32.4085,279.2967
67.5,2.1462,4.4073,7.1395,0.9014,0,26.6558,284.045
68,2.5457,4.7092,7.7012,1.7019,0,24.6046,265.8431
68.5,3.8698,3.2426,4.8066,1.7821,0,28.6976,271.3828
69,4.0621,2.3184,3.7438,0.7944,0,33.3391,297.4985
69.5,4.2893,2.7112,4.8055,1.2214,0,37.2896,291.9588
70,4.4307,3.7881,10.7966,1.5718,0,36.8149,284.8364
70.5,2.7325,2.627,5.3279,0.5862,0,33.9865,282.4622
71,2.0834,1.714,3.1059,0.3343,0,29.9526,264.2603
71.5,2.1968,1.5651,2.1095,0.8268,0,31.3229,271.3828
72,2.5467,2.1943,4.3344,1.4638,0,41.8631,291.1674
72.5,3.051,2.5723,5.2179,1.3417,0,43.7057,292.7502
73,3.124,3.1247,6.1074,1.1418,0,41.808,282.4622
73.5,2.6579,4.2133,8.3465,2.1594,0,42.9335,265.0517
74,2.4832,4.2522,8.5248,1.3138,0,38.2923,264.2603
74.5,2.5339,2.929,4.8411,1.6253,0,27.4329,273.757
75,2.7313,2.8787,4.5187,1.2296,0,23.423,299.0813
75.5,3.1663,2.4832,4.3309,1.1997,0,29.663,295.9157
76,2.7773,1.562,2.5458,1.094,0,42.0824,278.5053
76.5,2.7578,1.3048,1.9461,0.3492,0,44.9221,287.2105
77,3.5138,1.8262,2.8983,0.3206,0,36.7359,263.469
77.5,2.3046,2.8149,6.0379,0.9772,0,33.5211,274.5483
78,1.7079,2.2695,3.5592,0.4867,0,33.6312,288.7933
78.5,2.3227,2.1079,5.293,0.1881,0,39.7071,288.7933
79,3.6598,3.6027,8.649,-0.5607,0,46.026,276.9225
79.5,4.1302,4.6003,7.5995,0.419,0,46.9942,279.2967
80,3.3969,4.1843,7.1913,2.6034,2,45.9409,271.3828
80.5,3.3527,4.8276,5.6772,4.0608,0,43.2526,288.0019
81,3.6091,3.3808,4.3694,2.7276,0,45.7458,297.4985
81.5,4.3792,3.3877,4.9416,1.3504,0,50.751,295.9157
82,4.4905,3.2093,4.1132,1.4301,0,53.3496,267.4259
82.5,3.5295,2.5392,4.1321,1.7783,0,76.9861,275.3397
83,2.5887,2.3539,3.6462,1.6269,0,117.4032,261.0948
83.5,2.5738,2.1521,3.6651,0.8636,0,125.2005,269.8
84,3.8224,2.7408,5.4744,1.4552,0,106.6216,277.7139
84.5,5.8103,4.9983,9.0854,2.9088,0,91.964,278.5053
85,8.3002,8.4895,12.9708,5.7661,0,69.0216,255.5551
85.5,11.9971,13.6334,16.3876,11.1285,0,43.7294,265.0517
86,14.8691,20.0315,22.0166,16.9693,0,42.3272,260.3034
86.5,19.0356,26.4075,28.0874,23.1477,0,57.7958,272.9656
87,21.8891,31.4881,34.2353,28.5282,0,67.6886,271.3828
87.5,20.9673,31.5953,35.0007,27.7005,0,68.4744,275.3397
88,16.6822,25.7826,29.4439,20.5305,0,67.7743,246.0585
88.5,15.6229,23.4429,26.9131,20.6764,0,66.7719,255.5551
89,18.6615,26.8247,30.1874,24.7265,0,66.1089,247.6413
89.5,20.1262,30.1321,33.0345,27.5561,0,60.6643,246.8499
90,22.6387,34.9293,39.8054,30.5381,0,51.1422,261.8862
90.5,32.1061,45.4272,52.2651,40.5753,0,43.1555,262.6776
91,39.274,53.3152,63.7051,45.0102,0,46.8845,237.3533
91.5,40.7631,62.194,69.1153,55.3587,0,62.2004,255.5551
92,42.5272,70.3876,74.1253,65.0561,0,61.412,234.9791
92.5,44.0604,72.1106,78.1278,67.1374,0,45.3202,233.3963
93,44.98,72.5478,77.7626,68.2911,0,46.2374,248.4326
93.5,45.0176,74.5838,80.0182,69.9567,0,67.4099,246.0585
94,45.0645,77.0719,85.0319,72.2069,0,81.2741,222.3169
94.5,47.4632,77.9756,83.076,73.0322,0,85.2969,242.1016
95,49.4154,79.3866,84.2502,73.5371,0,93.8303,242.893
95.5,50.5771,80.7675,87.1026,72.0384,0,94.4663,242.1016
96,51.5221,81.6554,88.6374,73.4556,0,81.3988,242.1016
96.5,51.7739,82.3867,89.0673,77.8997,0,70.1131,235.7705
97,52.2027,83.5477,89.9189,78.6634,0,61.7805,222.3169
97.5,52.7038,83.7159,89.6062,77.7836,0,59.3177,228.648
98,52.696,84.2929,91.4082,78.0283,0,65.2696,219.1514
98.5,53.3676,84.7528,91.1704,79.4405,0,63.4842,230.2308
99,53.7106,85.67,91.6168,80.4233,0,60.8535,240.5188
99.5,54.175,86.6592,92.7859,79.9589,0,71.5424,238.1446
100,54.8016,87.2699,93.2044,80.4949,0,74.9245,210.4462
100.5,54.6654,87.4564,92.9294,81.5282,0,76.0339,231.0222
101,55.2709,87.9683,93.0894,81.3978,0,84.1895,213.6117
101.5,56.2009,88.6634,94.9041,82.1724,0,92.1285,223.1083
102,56.2597,88.0734,94.5714,82.4599,0,86.6722,229.4394
102.5,56.0573,88.2938,92.8897,83.827,0,69.9619,235.7705
103,55.6374,89.0911,94.6837,84.2127,0,61.7602,220.7342
103.5,55.3714,89.9456,95.8864,83.9206,0,61.9291,215.9859
104,55.5766,90.5137,94.8801,84.8807,0,62.608,213.6117
104.5,56.475,90.9632,95.3019,86.6021,0,60.7688,229.4394
105,57.7726,90.7278,99.0284,84.8958,0,64.6819,233.3963
105.5,57.7008,90.3097,95.6204,86.4574,0,71.2211,238.1446
106,56.7162,90.8121,94.6409,86.4913,0,76.328,219.9428
106.5,57.7987,91.4593,94.5324,86.8321,0,89.2503,221.5256
107,60.3447,92.6561,95.4169,88.2378,0,90.4443,212.8203
107.5,61.6841,93.5092,95.886,90.6084,0,71.4028,234.1877
108,60.2147,93.2242,96.1441,89.9986,0,57.9143,230.2308
108.5,58.4464,92.8082,96.9666,88.7885,0,65.9804,230.2308
109,58.1905,93.2468,99.0038,88.8747,0,77.0141,207.2806
109.5,57.9237,93.7671,99.2167,89.7877,0,82.6498,223.8997
110,58.935,94.6795,101.2728,89.9906,0,81.9113,212.0289
110.5,59.2836,95.1058,100.7707,90.1281,0,73.7448,231.0222
111,59.1152,94.7332,100.4403,91.2179,0,62.1116,236.5619
111.5,58.9927,94.8108,98.8742,92.641,0,52.5276,234.9791
112,59.0751,95.2689,97.2554,93.5862,0,52.7567,208.072
112.5,59.3837,94.9848,98.2892,91.7767,0,67.3807,220.7342
113,59.968,95.7082,97.9202,93.0802,0,80.2935,208.8634
113.5,60.7284,96.8092,99.6551,94.5981,0,85.0828,223.1083
114,60.6881,96.3061,100.6107,93.3034,0,93.411,218.36
114.5,59.4565,94.8144,99.0928,90.8386,0,91.1056,229.4394
115,57.8807,93.0732,97.8152,88.5958,0,75.7965,209.6548
115.5,57.4809,92.6687,95.5622,89.0668,0,66.5062,230.2308
116,57.6954,93.1718,94.8009,89.7642,0,62.339,219.9428
116.5,57.6317,93.4706,97.4005,88.0182,0,74.4885,238.1446
117,57.8375,95.0375,98.5529,90.0007,0,87.5859,238.1446
117.5,58.5687,96.6091,102.5953,93.9417,0,84.2581,229.4394
118,60.5103,97.1702,103.5184,93.6681,0,79.538,205.6979
118.5,59.8523,95.8291,97.1685,93.5101,0,77.6521,227.8566
119,58.532,93.9317,95.752,92.0897,0,80.7525,213.6117
119.5,59.1424,93.9677,95.2823,92.9434,0,88.8857,220.7342
120,60.1309,95.0888,95.9069,94.1139,0,83.9657,236.5619
120.5,60.254,93.6138,95.5483,91.4604,0,73.5371,228.648
121,59.949,94.0658,99.0717,91.6757,0,68.1647,220.7342
121.5,59.1151,95.3428,98.4008,93.578,0,72.6646,234.9791
122,58.1947,93.5659,96.5737,91.6723,0,77.9501,209.6548
122.5,58.1322,93.1771,97.3629,91.627,0,72.465,224.6911
123,58.8903,93.8971,97.8551,92.919,0,66.2602,231.0222
123.5,59.8705,93.1687,96.7369,89.5518,0,71.521,219.9428
124,59.5753,93.8132,96.8887,90.3612,0,68.6541,225.4825
124.5,58.7559,93.8788,96.9603,87.3993,0,61.9829,225.4825
125,58.85,92.7708,99.1129,83.7381,0,73.4294,223.8997
125.5,58.9707,93.339,96.6225,90.8921,0,82.2782,231.0222
126,59.017,93.5611,96.7277,92.0419,0,72.0034,238.936
